1	glass-reinforced polyethylene
1	board
1	canvas
1	Secutex - trade name
1	PVB
1	polyvinyl butyral
1	Tencel - trade name
1	Vectran - trade name
1	Duraflex
1	Zyex - trade name
1	PEEK
1	polyetheretherketone
1	Correx - trade name
1	glass-reinforced polyester
1	Sofprene - trade name
1	styrene butadiene styrene
1	SBS
1	Bortexx - trade name
1	iron
1	Q-Nova - trade name
1	Roica Eco-Smart - trade name
1	PVCA
1	polyvinyl chloride acetate
1	Luran-S - trade name
1	ASA
1	acrylonitrile styrene acrylate
1	styrene acrylic copolymer
1	elastomultiester
1	M49 - trade name
1	CR39 - trade name
1	PADC
1	polyallyl diglycol carbonate
1	PPK
1	PHA
1	polyhydroxyalkanoate
1	Loopamid - trade name
1	Evovinyl - trade name
1	Mylo - trade name
1	mycelium
1	Pyratex Active 1 - trade name
1	Orange Fiber - trade name
1	PSU
1	polysulfone
1	Lyka skin - trade name
1	Vegea - tradename
1	grape
1	silver plate
1	Diolen - trade name
1	rattan
1	POE
1	polyolefin elastomer
