source,target,relation
https://ontology.tesseract.academy/modip/object/db7ae3aa-53ca-38db-be46-033a17c1f4a8,https://ontology.tesseract.academy/modip/object/179f158f-ea31-3ea1-a607-4edec9f6d2e0,P67_refers_to
https://ontology.tesseract.academy/modip/object/e0edb08c-db88-3e3a-9555-d5cdf227c885,https://ontology.tesseract.academy/modip/object/2e54eb3c-0485-3308-bae2-55dff7072e85,P67_refers_to
https://ontology.tesseract.academy/modip/object/e5f37a06-e51a-3d7d-97c1-033de2d71176,https://ontology.tesseract.academy/modip/object/b18a29f9-2c34-3d48-b169-05054d677039,P67_refers_to
https://ontology.tesseract.academy/modip/object/b18a29f9-2c34-3d48-b169-05054d677039,https://ontology.tesseract.academy/modip/object/e5f37a06-e51a-3d7d-97c1-033de2d71176,P67_refers_to
https://ontology.tesseract.academy/modip/object/179f158f-ea31-3ea1-a607-4edec9f6d2e0,https://ontology.tesseract.academy/modip/object/db7ae3aa-53ca-38db-be46-033a17c1f4a8,P67_refers_to
https://ontology.tesseract.academy/modip/object/4ff8bb92-a7a5-38ad-877e-10e516f2ac29,https://ontology.tesseract.academy/modip/object/7b0f9bae-e6a5-31af-a64d-3cdf11d713b3,P67_refers_to
https://ontology.tesseract.academy/modip/object/4ff8bb92-a7a5-38ad-877e-10e516f2ac29,https://ontology.tesseract.academy/modip/object/764cb630-1862-3bf6-bcb4-42c3324d08e8,P67_refers_to
https://ontology.tesseract.academy/modip/object/d5b2a58a-839a-3e35-9fe3-f65e0f7bb1d0,https://ontology.tesseract.academy/modip/object/b027ffda-8ce3-35d1-bd9a-3291573bcff1,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/d5b2a58a-839a-3e35-9fe3-f65e0f7bb1d0,https://ontology.tesseract.academy/modip/object/7d303dc5-c66e-3542-9bc8-b616b3e3d62a,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/b027ffda-8ce3-35d1-bd9a-3291573bcff1,https://ontology.tesseract.academy/modip/object/7d303dc5-c66e-3542-9bc8-b616b3e3d62a,P67_refers_to
https://ontology.tesseract.academy/modip/object/0e548c29-f5c9-373f-bcd3-60a62922efba,https://ontology.tesseract.academy/modip/object/0955c7f7-8bf3-3fa1-a644-7a1a42f86574,P67_refers_to
https://ontology.tesseract.academy/modip/object/7b0f9bae-e6a5-31af-a64d-3cdf11d713b3,https://ontology.tesseract.academy/modip/object/764cb630-1862-3bf6-bcb4-42c3324d08e8,P130_shows_features_of
